bitrate 5666 stable_bitrate 987 link  5666 loss 0 rtt 1
bitrate 5888 stable_bitrate 1005 link  5888 loss 0 rtt 1
bitrate 6091 stable_bitrate 1024 link  6091 loss 0 rtt 1
bitrate 6182 stable_bitrate 1042 link  6182 loss 0 rtt 1
bitrate 6430 stable_bitrate 1062 link  6430 loss 0 rtt 1
bitrate 6683 stable_bitrate 1083 link  6683 loss 0 rtt 1
bitrate 6940 stable_bitrate 1106 link  6940 loss 0 rtt 1
bitrate 7218 stable_bitrate 1128 link  7218 loss 0 rtt 1
bitrate 7490 stable_bitrate 1152 link  7490 loss 0 rtt 1
bitrate 7605 stable_bitrate 1175 link  7605 loss 0 rtt 1
bitrate 7903 stable_bitrate 1201 link  7903 loss 0 rtt 1
bitrate 8216 stable_bitrate 1227 link  8216 loss 0 rtt 1
bitrate 8536 stable_bitrate 1254 link  8536 loss 0 rtt 1
bitrate 8878 stable_bitrate 1284 link  8878 loss 0 rtt 1
bitrate 9220 stable_bitrate 1313 link  9220 loss 0 rtt 1
bitrate 9405 stable_bitrate 1343 link  9405 loss 0 rtt 1
bitrate 9774 stable_bitrate 1375 link  9774 loss 0 rtt 1
bitrate 10000 stable_bitrate 1407 link  10158 loss 0 rtt 1
bitrate 10000 stable_bitrate 1442 link  10557 loss 0 rtt 1
bitrate 10000 stable_bitrate 1475 link  10750 loss 0 rtt 1
bitrate 10000 stable_bitrate 1509 link  10925 loss 0 rtt 1
bitrate 10000 stable_bitrate 1542 link  11103 loss 0 rtt 1
bitrate 10000 stable_bitrate 1578 link  11544 loss 0 rtt 1
bitrate 10000 stable_bitrate 1616 link  11997 loss 0 rtt 1
bitrate 10000 stable_bitrate 1655 link  12474 loss 0 rtt 1
bitrate 10000 stable_bitrate 1695 link  12960 loss 0 rtt 1
bitrate 10000 stable_bitrate 1735 link  13185 loss 0 rtt 1
bitrate 10000 stable_bitrate 1773 link  13415 loss 0 rtt 1
bitrate 10000 stable_bitrate 1814 link  13942 loss 0 rtt 1
bitrate 10000 stable_bitrate 1856 link  14199 loss 0 rtt 1
bitrate 10000 stable_bitrate 1894 link  14457 loss 0 rtt 1
bitrate 10000 stable_bitrate 1931 link  14552 loss 0 rtt 1
bitrate 10000 stable_bitrate 2042 link  14928 loss 0 rtt 1
bitrate 10000 stable_bitrate 2082 link  15210 loss 0 rtt 1
bitrate 10000 stable_bitrate 2230 link  15560 loss 0 rtt 1
bitrate 10000 stable_bitrate 2270 link  15563 loss 0 rtt 1
bitrate 10000 stable_bitrate 2451 link  15578 loss 0 rtt 1
bitrate 10000 stable_bitrate 2489 link  15586 loss 0 rtt 1
bitrate 10000 stable_bitrate 3196 link  15902 loss 0 rtt 1
